start,path,missing_reactions,num_missing,flux,blocked_reactions,dead_end_metabolites
cpd00254_e0,"['cpd00254_e0', 'cpd00008_c0', 'cpd00728_c0', 'cpd00211_c0']","['rxn10571', 'rxn46479', 'rxn13713']",3,0.0,"['rxn46479', 'rxn13713']","['cpd07946_c0', 'cpd00211_c0', 'cpd00120_c0', 'cpd00728_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00009_c0', 'cpd00001_c0', 'cpd00211_c0']","['rxn10571', 'rxn48527', 'rxn45696']",3,0.0,"['rxn48527', 'rxn45696']","['cpd32214_c0', 'cpd31527_c0', 'cpd00211_c0', 'cpd24202_c0', 'cpd35307_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00009_c0', 'cpd00006_c0', 'cpd00211_c0']","['rxn10571', 'rxn38393', 'rxn36394']",3,0.0,['rxn36394'],"['cpd00211_c0', 'cpd24799_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00009_c0', 'cpd00029_c0', 'cpd00211_c0']","['rxn10571', 'rxn31758', 'rxn13427']",3,0.0,['rxn13427'],['cpd16910_c0']
cpd00254_e0,"['cpd00254_e0', 'cpd00009_c0', 'cpd00004_c0', 'cpd00211_c0']","['rxn10571', 'rxn38113', 'rxn47214']",3,0.0,['rxn47214'],"['cpd00211_c0', 'cpd01011_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00009_c0', 'cpd01662_c0', 'cpd00211_c0']","['rxn10571', 'rxn00871', 'rxn01236']",3,0.0,"['rxn01236', 'rxn00871']","['cpd01662_c0', 'cpd00120_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00009_c0', 'cpd00003_c0', 'cpd00211_c0']","['rxn10571', 'rxn33680', 'rxn36395']",3,0.0,['rxn36395'],"['cpd00211_c0', 'cpd24799_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00009_c0', 'cpd00067_e0', 'cpd00211_c0']","['rxn10571', 'rxn34261', 'rxn08183']",3,0.0,[],"['cpd00211_c0', 'cpd00211_e0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00009_c0', 'cpd00008_c0', 'cpd00211_c0']","['rxn10571', 'rxn48511', 'rxn01236']",3,0.0,"['rxn01236', 'rxn48511']","['cpd27124_c0', 'cpd36176_c0', 'cpd01662_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00009_c0', 'cpd00007_c0', 'cpd00211_c0']","['rxn10571', 'rxn47621', 'rxn47214']",3,0.0,"['rxn47621', 'rxn47214']","['cpd33711_c0', 'cpd00211_c0', 'cpd01011_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00009_c0', 'cpd00728_c0', 'cpd00211_c0']","['rxn10571', 'rxn46479', 'rxn13713']",3,0.0,"['rxn46479', 'rxn13713']","['cpd07946_c0', 'cpd00211_c0', 'cpd00120_c0', 'cpd00728_c0']"
