model_id,objective_expression,objective_rxn_ids,objective_rxn_names,status
MAG153_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG154_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG155_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG156_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG157_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG158_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG159_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG160_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG161_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG162_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG163_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG164_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG165_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG166_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG167_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG168_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG169_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG170_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG171_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG172_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG173_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG174_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG175_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG176_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG177_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG178_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG179_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG180_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG181_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG182_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG183_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG184_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG185_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG186_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG187_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG188_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG189_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG190_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG191_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG192_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG193_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG194_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG195_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG196_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG197_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
